Date,Close/Last,Volume,Open,High,Low
04-08-2024,$7.1999,75322,$7.3104,$7.9905,$6.8021
04-05-2024,$8.2404,172626,$7.5502,$9.7773,$7.4838
04-04-2024,$9.0105,2595070,$8.4852,$9.9269,$7.0724
04-03-2024,$6.2904,326326,$6.0184,$6.2904,$5.6936
04-02-2024,$6.0694,3506,$5.9334,$6.1578,$5.6715
04-01-2024,$5.6715,1978,$5.9334,$6.1204,$5.6103
03/28/2024,$5.7803,3358,$5.7633,$6.2904,$5.612
03/27/2024,$5.6953,7146,$6.2394,$6.2479,$5.442
03/26/2024,$6.0073,1981,$5.9334,$6.2564,$5.9164
03/25/2024,$6.2207,4296,$6.4434,$6.4434,$5.6953
03/22/2024,$5.9538,8532,$6.6134,$6.7834,$5.5916
03/21/2024,$6.5197,2290,$6.7987,$6.7987,$6.219
03/20/2024,$6.5454,3261,$6.4706,$6.6644,$6.1799
03/19/2024,$6.1391,1814,$6.5624,$6.5896,$6.1221
03/18/2024,$6.2836,5029,$6.3924,$6.6304,$6.219
03/15/2024,$5.9504,7718,$6.3584,$6.4094,$5.9504
03/14/2024,$5.9674,2634,$6.1204,$6.6134,$5.9674
03/13/2024,$6.1714,4046,$6.6032,$6.7205,$6.1204
03-12-2024,$6.6032,3169,$6.5726,$6.6287,$6.2343
03-11-2024,$6.5454,7288,$7.2424,$7.2424,$6.1204
03-08-2024,$6.7851,9523,$6.6644,$7.1404,$5.9589
03-07-2024,$6.8004,6430,$7.4804,$7.5655,$6.5445
03-06-2024,$7.4804,48028,$8.3577,$8.9935,$5.6103
03-05-2024,$8.5966,34055,$9.8504,$10.2006,$8.1435
03-04-2024,$9.5036,176369,$10.00,$13.6008,$9.2351
03-01-2024,$8.798,60029,$8.1605,$10.8807,$7.8205
02/29/2024,$7.9055,6176,$8.1605,$8.2455,$7.6845
02/28/2024,$7.6845,10297,$8.6705,$8.7538,$7.659
02/27/2024,$8.5175,14641,$8.3305,$9.3506,$7.9905
02/26/2024,$7.8273,3024,$8.4835,$8.4835,$7.6505
02/23/2024,$8.2965,4161,$8.3203,$8.6705,$7.6981
02/22/2024,$7.8256,1556,$8.3305,$8.3305,$7.7746
02/21/2024,$7.8205,1742,$8.0755,$8.2795,$7.7287
02/20/2024,$8.0755,6203,$8.6705,$8.798,$7.9055
02/16/2024,$8.8065,11805,$7.9344,$8.9748,$7.3971
02/15/2024,$7.8919,3238,$8.2115,$8.2115,$7.6335
02/14/2024,$7.8205,3658,$7.9905,$7.993,$7.5315
02/13/2024,$7.5672,3665,$8.2446,$8.3101,$7.5672
02-12-2024,$7.9072,2207,$7.8137,$8.3237,$7.8137
02-09-2024,$8.3288,1431,$8.4138,$8.4138,$7.8222
02-08-2024,$8.1605,2912,$8.0704,$8.2574,$7.6505
02-07-2024,$8.0908,1964,$7.9565,$8.3118,$7.5315
